sentence,language
motor werkt niet goed,nl
Laadt niet meer op,nl
Fabrieksreset,nl
Hij lekt aan de onderkant,nl
PAT test doorstaan,nl
Ferrietantenne kapot,nl
Hulp nodig bij het gebruik,nl
Elektronica defect,nl
Vervangende oplader nodig,nl
Maak het sneller,nl
goedkoop en niet vrolijk,nl
De eigenaar komt in maart terug,nl
Sluiter vernietigd,nl
Motor verhardt,nl
snoer gangbaar gemaakt,nl
Gamingapparaat (categorie nodig),nl
Voedings IC en diode defect,nl
Kapotte connector,nl
fitting vastgedraaid,nl
Achteruitversnelling werkt niet,nl
Je moet ook de zak vervangen!,nl
Advies om te kuisen,nl
Riem niet strak genoeg,nl
Foutbron niet toegankelijk,nl
Handmixer,nl
niet repareerbaar te oud,nl
Verwarmingselement beschadigd,nl
Geen functie - Fout niet gevonden,nl
Is afdichting weg?,nl
Platenspeler gaat niet aan,nl
Schakelaar defect-,nl
Afdichting vervangen,nl
op de 2 die werkten,nl
signaalzender werkt niet goed,nl
Rubber ring los,nl
wordt zeer heet tijdens gebruik,nl
Aanpassing uitgevoerd,nl
Aan/uit-knop,nl
Stopte halverwege,nl
Advies: Nieuwe accucellen kopen,nl
Slechte technologie,nl
Bedrading gerepareerd,nl
Globe base vastgezet op body,nl
Meer werk nodig,nl
De centrale arm grijpt niet meer,nl
weerstand stuk,nl
Hoover - Oververhitting -,nl
Schuurmachine,nl
Machine loopt onrustig,nl
CD-speler kapot,nl
vervanging van 7 onderdelen,nl
De auto rijdt niet meer,nl
Volgende keer maken we het af,nl
Hij kon niet meer goed vliegen,nl
Timer en aan/uit-knop defect,nl
Handvat eraf,nl
Reinigde kop en motor,nl
Draad vastgezet,nl
Gaat niet meer door,nl
Was gevallen en uiteengevallen,nl
Slechte contacten,nl
Brandstofleiding kapot,nl
zeer moeilijk toegankelijk,nl
Gasklep zit vast,nl
Eerst loeien en dan stil,nl
klant komt terug,nl
De koffie stroomt heel langzaam,nl
Handvat met lijm vastgezet,nl
Alarmlamp met zwak scherm,nl
kabel vervangen,nl
Cassette niet afspeelbaar,nl
Tip bevestigd,nl
Fout: Afvaltonerbak vol,nl
Hij wilde geen koffie meer zetten,nl
nagekeken; niets aan de hand,nl
nieuwe aandrijfeenheid nodig,nl
Informeer bij de fabrikant,nl
Er loopt geen water door,nl
regelaar doet het niet,nl
bleek niet kapot te zijn,nl
"gaat niet aan, laadt niet op",nl
Reserveonderdeel klant,nl
de lens loopt vast na een val,nl
Werkt niet ondanks vervangen accu,nl
Veiligheidscontrole,nl
De stekker is vervangen (€2),nl
Slechte hdmi kabel,nl
Te heet stopt met draaien,nl
Draadspanning afgesteld,nl
"Losgeschroefd, werkt niet meer",nl
Meldde dat hij niet wilde starten,nl
moet worden gesoldeerd,nl
Contacten gereinigd,nl
"knippert, maar laadt niet meer op",nl
Interne kortsluiting,nl
nieuwe lader kopen,nl
Slang en aandrijfriem vervangen,nl
Geen duidelijk probleem,nl
Erg moeilijk te demonteren,nl
Windows 10 - trage laptop,nl
Defect Reparatie niet mogelijk,nl
php/Blog_2017#2017-09-23_Saturday,nl
Heeft onderdelen nodig,nl
Dat is genoeg voor haar,nl
Contact gebogen,nl
Gelijmde voet en luidsprekersteun,nl
Kabel gemonteerd,nl
snoer gemaakt en schoongemaakt,nl
Geen lekken meer,nl
stroomkabel storing,nl
zuigt niet meer (filter verstopt),nl
water ook onder de machine,nl
Wielen aan één kant werken niet,nl
Onderdelen besteld,nl
In de wolken :),nl
Batterij defect,nl
de voedingskabel solderen,nl
uitgangsfilter vervangen,nl
Voordeur sluit niet goed,nl
Advies: schoongemaakt gebruiken,nl
Draad gerepareerd,nl
Gebroken veer,nl
Cassettecompartiment werkt niet,nl
toont geen waarden,nl
raar geluid,nl
foutcode tijdens het afdrukken,nl
Afgesteld en gesmeerd,nl
Tot ziens op de volgende R. C,nl
probleem aan de schakelaar,nl
Helemaal op,nl
Motorisch defect,nl
kapotte tandwielen,nl
Toen was het fornuis weer dicht,nl
Start de programmering niet,nl
Nieuw ventiel nodig,nl
Maak een nieuwe messing windu,nl
slang afgeknapt,nl
Los elektrisch contact,nl
Stoomreiniger verwarmde niet meer,nl
Apparaat gereinigd/geolied,nl
Niet geschikt voor reparatie,nl
Mogelijk om te schakelen,nl
Geeft foutmelding,nl
snoer hersteld in haspel,nl
CD springt,nl
Nu OK,nl
Werkt niet meer / verstopt,nl
Sluiten was probleem,nl
Bedrading los,nl
Rad defect,nl
Zoutlamp werkt niet,nl
Vast - antenne gerepareerd,nl
Klok verkeerd om opgewonden,nl
Elektrische borstelfunctie defect,nl
Hij speelt geen cd's meer af,nl
Tape transport werkte prima,nl
Vastzittende klauwplaat,nl
Schroef uitgebroken,nl
condensator vervangen en OK,nl
Terugsturen met reserveonderdelen,nl
Hoofdvolumepotentiometer defect,nl
CD-motor draait niet,nl
Ik heb advies gekregen,nl
Kortsluiting na 20 seconden,nl
Trekketting gebroken,nl
Fout kan niet worden vastgesteld,nl
Laserlens gereinigd,nl
doorgebrande motor,nl
Defecte motorkapsluiting,nl
Maar deze kan worden vervangen,nl
Helaas kunnen we niets doen,nl
Onmetelijke stop,nl
"batterij stuk, oplaatbare",nl
zuigt niet krachtig genoeg,nl
Alles goed,nl
Contact schoongemaakt,nl
geen dropouts meer,nl
trekt geen water - pomp?,nl
Hij werkte niet meer goed,nl
Muziekdoos hapert,nl
manual nodig,nl
Het probleem niet gevonden,nl
Niet langer verwarmd,nl
Nieuw systeem geïnstalleerd,nl
Hoogspanningspen gebogen,nl
Stroomvoorziening afgebrand,nl
Onderdelen nodig voor reparatie,nl
Transformator installatie,nl
batterij kontakten gerepareerd,nl
"Niet gezien, geen tijd",nl
stoom ontsnapt aan pistool,nl
Eigenaar zoekt thuis uit,nl
Luidsprekers werken niet meer,nl
hersynchronisatie,nl
geen probleem kunnen ontdekken,nl
Kan niet opgeladen worden,nl
één koolborstel defec,nl
schakelaar vervangen,nl
module wi-fi HS,nl
schakelt uit na ongeveer 15 min,nl
Scharnier ook vastgezet,nl
Verwarmt maar mengt niet meer,nl
Stang gebroken,nl
defecte pomp,nl
Ventilator in grote kamer,nl
De zekering is doorgebrand,nl
maalt zeer luid,nl
LINUX prestaties,nl
simkaart probleem,nl
Lade gaat niet meer open,nl
Rechter schermscharnier los,nl
schakelaar veiligheid gerepareerd,nl
Geen opstart meer,nl
Aan/uit-schakelaar kapot,nl
Flex kabel vernieuwd,nl
Ga niet op Tijd was niet genoeg,nl
Elektrisch dekenelement weg,nl
Probleem met de stekker,nl
Mixer,nl
Herkent SIM niet,nl
Raaklamp gaat niet aan,nl
Lampjes gaan aan maar werken niet,nl
Los contact verholpen,nl
Motor gesmeerd,nl
Werkte in verschillende testen,nl
Terugslagklep verkalkt,nl
Te bestellen onderdelen,nl
In beslag genomen messen,nl
Laadcontactdoos los,nl
shift en olie,nl
ELmo was gestopt met praten,nl
Docket 2: Niet bekend,nl
Gelijkspanning aan de basuitgang,nl
vraag service manual aan bezoeker,nl
Op 27.10,nl
Stekker kapot,nl
zuigbuis verstopt,nl
Slecht regelcontact,nl
aan uit schakelaar los,nl
De schijf wordt niet herkend,nl
Kan niet worden aangezet,nl
Vervangende timer geplaatst,nl
"Nintendo: vochtigheid, oxidatie",nl
Klant kiest voor niet repareren,nl
Potentiometer contacten gekuisd,nl
Daarmee kan hij het weer bijbenen,nl
motor doorgebrand,nl
Ontkoppeld,nl
schermbeveiliging,nl
Maakt apart geluid,nl
Accu is vervangen,nl
Ruikt verbrand na ontsteking,nl
De voeding werkt niet,nl
CD-speler stopt: reinig de lens,nl
Afgeraden te gebruiken,nl
Ontstekingszekering kapot,nl
"Start wel, maar zet geen koffie",nl
Papierstoring,nl
De CD-lens reinigen,nl
Lade opknoping,nl
vervangend stuk plastic,nl
nieuwe koolborstels kopen,nl
controleer,nl
koolborstels slecht,nl
Eén pad werkt niet,nl
Veren hebben geen kracht meer,nl
Loopt,nl
elektrische storing,nl
Contact schoonmaken,nl
Band vastgelopen,nl
Stoppen met rijden,nl
Schaduw moest gelijmd worden,nl
Defecte cd-speler,nl
Aansluitkabel defect - vervangen,nl
Schoongemaakt en gelijmd,nl
NFF,nl
Moet worden vervangen,nl
Drukt onregelmatig af,nl
Volume temperamentvol,nl
"brandt niet, los contact",nl
Open circuit op de schakelaar,nl
Meer detectie van zwarte inkt,nl
het water stroomt niet meer,nl
Flex is per ongeluk doorgesneden,nl
elektronica buiten werking,nl
Eigenaar koopt en bevestigt,nl
Printplaat verbrand,nl
de machine had een keer gerookt,nl
motor,nl
nieuwe motor nodig,nl
lekken -> afdichting vervangen,nl
Nieuwe aandrijfriem nodig,nl
Kabelbreuk bij stekker,nl
Gedurende 2 dagen getest,nl
Man nodig,nl
Niet-vervangbare H. S,nl
Eigenaar gaat terug,nl
Deur sluit niet meer,nl
De naald is gestopt,nl
Vuile schakelaar,nl
Onderdelen ontbreken,nl
aandrijfas vervangen,nl
Van binnen schoongemaakt,nl
De klant zal hem zelf vervangen,nl
borstel zuigmond,nl
Geverifieerd,nl
Het water loopt niet goed door,nl
"Merk ondertain, mogelijk Menuet",nl
Omschakeling naar LED,nl
CMOS batterij gecontroleerd - ok,nl
Gedeeltelijk ontmanteld,nl
Krakende volumepotmeter,nl
De accucellen werken correct,nl
werkt na demontage/montage,nl
Geen uitgangssignaal,nl
onmogelijk door ruimtegebrek,nl
Plastic zit vast,nl
draadloos toegangspunt tp-link,nl
Draad is doorgesneden,nl
Loszittende draad op lamphouder,nl
Harde schijf was dood,nl
batterij pack dood,nl
De elektronica was in orde,nl
nieuw .... erin gezet,nl
Geklemde binnenband,nl
kabel,nl
Element was open circuit,nl
Klauwplaat klemt niet meer,nl
Ontkalken met citroenzuur,nl
Opvullen / leeghalen,nl
Niets kunnen vinden,nl
getest en was oké,nl
def Zonnecel defect,nl
Haardroger - Oververhitting,nl
Dossier 196: LED - lamp flikkert,nl
MEER GEBRUIKSDRUK,nl
Ze kwam daarom naar het Repair,nl
Kabel en zekering in orde,nl
Eigenaar had geen Windows 7,nl
zender op ander kanaal gezet,nl
wordt niet meer warm,nl
losgeschroefd intern element,nl
losse aansluiting?,nl
Smartphone geblokkeerd,nl
de koffie is lauw,nl
Veiligheidssysteem gedragen,nl
radio Cd probl connex,nl
verwijdering van één meter schade,nl
Getest op meerdere laptops,nl
Afgescheurd koord,nl
Volgende keer terugbrengen,nl
opschonen van HD,nl
niet meer ingeschakeld,nl
Het speelde geen CD's meer af,nl
Komt terug met G. A,nl
Soquet gereinigd,nl
Niet-herstelbare oortelefoons,nl
heeft nieuwe kabel nodig,nl
Draait nu vrij rond,nl
Inconsistente Wi,nl
Kortsluiting in de kabel,nl
Kapotte kabel vervangen,nl
Spoel herwikkeld,nl
Lader werpt CD niet meer uit,nl
Aandrijfriem,nl
stofzuigerslang afgebroken,nl
nieuwe transformator geplaatst,nl
Meer onderzoek nodig,nl
Gebruik azijn of ontkalker,nl
Wachtwoord opvragen,nl
indicatielampjes,nl
De propeller bevestigen,nl
Fixer kon het haar laten zien,nl
Onderverwarmer defect,nl
Cassette geblokkeerd,nl
Beschadiging versnellingsbak,nl
gesoldeerde draden,nl
Slang ontstopt,nl
schoongeblazen met compressor,nl
de batterij moet worden vervangen,nl
schoep van motor defect,nl
De printerkop had een probleem,nl
Snoerhaspel geblokkeerd,nl
x defecte microschakelaars,nl
Lijkt vol met vuil te zitten,nl
De tapedrive liep niet,nl
Pat getest,nl
Ik zal het thuis testen,nl
Afdichting defect,nl
De thermostaat werkt niet meer,nl
Knop blijft niet ingedrukt,nl
regeling werkt niet goed,nl
Ketting opnieuw gemonteerd,nl
Dit kon niet worden gerepareerd,nl
Update vereist,nl
Probleem vastgesteld,nl
Er komt geen elektriciteit door,nl
batterijen laden niet op,nl
het apparaat stopt met verwarmen,nl
Gebruiker meldt geen stoom,nl
Hs batterij te duur,nl
Antenne aborted,nl
inschakelen en afstellen,nl
Schakelaar €3Prijs €1,nl
LAADT NIET LANGER OP,nl
Bovenste draadlussen,nl
Kapotte stekker en netsnoer,nl
de regeling uitgeschakeld,nl
Licht niet langer op => stof,nl
Werkt niet - kan geen fout vinden,nl
open gedaan,nl
Slang los,nl
lens vastgelopen aan/uit,nl
softwareproblemen,nl
Shuttle gebogen,nl
Consulting,nl
Knopcontact,nl
maak filter schoon,nl
de stekker moest vervangen worden,nl
Er ontbreken onderdeeltjes,nl
De kabel werd snel gerepareerd,nl
Hij viel naar beneden,nl
constante zoem,nl
Stopte er mee,nl
kon zaagbit niet bevestigen,nl
elektronisch defect,nl
Doorgebrande weerstand,nl
het water stopte met stijgen,nl
Reserveonderdeel ?,nl
Stoomgenerator lekt,nl
Probleem met de voeding,nl
Moederbord uit,nl
Opstartfout,nl
DAB - brandt alleen,nl
Snoer zit vast,nl
De klok is defect,nl
volumeknop buiten werking,nl
Nieuwe zekering gedaan,nl
Knoppen waren een beetje kapot,nl
Probleem met de kabelaansluiting,nl
Stuurinrichting werkt niet goed,nl
FM-knop zit vast,nl
Werkte en stopte gewoon,nl
Gebruikersprobleem,nl
bezoeker slijpt het zelf op,nl
Lade zit vast,nl
Ingebouwde zekering kapot,nl
resistentieprobleem,nl
een onderdeel vervangen,nl
Mes draait niet,nl
defect / verbruikt elektron,nl
Wieltje afgebroken,nl
uitleg bij de gebruiksaanwijzing,nl
ketelbasiscontacten schoongemaakt,nl
Schakelt niet in en laadt niet op,nl
Keuzeschakelaar defect,nl
kapotte aan/uit-schakelaar,nl
Draaischakelaar defect,nl
Waterlek achteraan,nl
GEEN FOUT!!,nl
Nasynchronisatie defect,nl
Motor doorgebrand of koolborstels,nl
USB-connector opnieuw solderen,nl
koffiemachine: werkt niet,nl
Hendel bleef niet omlaag staan,nl
Gebruikt om verf op te zuigen!,nl
Daarna werkte de motor weer,nl
Paneel defect,nl
Nieuwe connector erop solderen,nl
Waterkoker verwarmt niet meer,nl
PAT getest,nl
Nylon tandwiel kapot,nl
Watertank lekt op de bodem,nl
Defecte constructietrein,nl
Weergave vervormd,nl
Vereist een nieuw element,nl
Intermitterende prestaties,nl
Blender werkt niet,nl
startte niet meer,nl
Camera is versluierd,nl
Sommige lampjes werken niet,nl
Intermitterend geluid,nl
smeer zoomlens,nl
Knop kapot,nl
Docket 124,nl
Koffie niet langer gemalen,nl
"Zender verdwijnt, wordt luider",nl
Gebroken linkeroor,nl
Veranderde connector,nl
Schiet nietjes af,nl
verwarmt slechts aan één kant,nl
C025,nl
Defecte batterij,nl
Zoemt maar snijdt niet,nl
Zelf gerepareerd,nl
Vacuümturbine,nl
Naald/arm werkt niet,nl
CD-cassettedeck werkt niet,nl
blijft niet gestemd,nl
Mechanisch defect - doorgeroest!,nl
maar werkt nu goed,nl
Kabel afgescheurd bij soldeerpunt,nl
een plaat lassen,nl
spoelhuis defect,nl
"instortend, uit elkaar vallend",nl
Draait erg langzaam,nl
Werkt terug perfect nu,nl
usb werkt niet,nl
Constant vertraagde weergave,nl
KAART UIT,nl
Nieuwe accu gevonden en geplaatst,nl
Installeer harde schijf,nl
Scherm wordt roze,nl
Trekt geen water,nl
riem blijft breken,nl
Cafés,nl
Liggende connector defect,nl
invoerlade gerepareerd,nl
"Grasmaaier, wiel los",nl
Batterijen niet op te laden,nl
Krijg de achterkant er niet af,nl
Draadbreuk opgelost,nl
Haspel die alles blokkeert,nl
Bedrading repareren en testen,nl
Bestel een nieuwe,nl
contact opnemen met hotmail,nl
Liquidisator,nl
Kapotte elektromagneet,nl
Elektronisch probleem,nl
laadt niet goed op,nl
V sigarettenaanstekerplug defect,nl
Cassette trekt niet in,nl
kabelbreuk in aansluiting motor,nl
Test en meting OK,nl
"print was stuk,",nl
CD-speler riem in bestelling,nl
Fase 3 stopt,nl
Kabel te kort,nl
werkt soms niet,nl
Versnellingsbak defect,nl
Kabel slecht in apparaat gestoken,nl
Werd snel heet,nl
"Zak te vol, filters vuil",nl
werkte niet; getest OK,nl
De band monteren,nl
HDMI-uitgang,nl
Besturingskaart defect,nl
verkeerde afstelling,nl
Oplossing is superlijm,nl
Te luid en loopt niet soepel,nl
Het accepteerde geen DVD's meer,nl
deze moet worden vervangen,nl
De aan-schakelaar is kapot,nl
Nog steeds defect,nl
Voet is afgebroken,nl
moet worden schoongemaakt,nl
Benodigde onderdelen,nl
Nieuwe aandrijfriem gemonteerd,nl
Te ver in de aanslag gedraaid,nl
"Broodrooster uit 1950, werkt niet",nl
filter verwijderd,nl
drukknop verwisselen,nl
Kapotte spoelmotor,nl
Geen geluid via versterker,nl
Thermische zekering nodig,nl
Contactdoos los,nl
Alles is goed getest,nl
Beoordeeld,nl
Kapotte draad gerepareerd,nl
Valschade,nl
Doorgebrande borstelmotor,nl
"CD-speler ja, casette nee",nl
De werpantenne was afgescheurd,nl
verlies van contact,nl
De smartphone gaf geen beeld meer,nl
schakelaar gerepareerd,nl
Collector geschuurd,nl
Lood is temperamentvol,nl
compleet gemaakt en schoongemaakt,nl
aandrijving wasrollers defect,nl
slang schoongemaakt,nl
Daarna was de lamp weer in orde,nl
Zaklamp,nl
wordt niet warm ondanks ontkalken,nl
Uitgevallen door kortsluiting,nl
schakelt niet langer uit,nl
slechte verbinding,nl
schakelt constant uit,nl
Eigenaar opgeleid en blij,nl
niet meer opwarmt,nl
voeding gecontroleerd,nl
Laptop - Probleem met wifi -,nl
iPhone - gebroken scherm,nl
Er is dus een nieuwe Li,nl
def Gemaakte contacten,nl
Inschakelknop defect,nl
Walsborstels draaien niet,nl
gebroken draad in apparaat,nl
De hele fuser unit was geruïneerd,nl
Peulen ontkurkt,nl
Wordt niet opgeladen,nl
def Zekering vervangen,nl
Stofzuiger werkt niet meer,nl
Dossier 127,nl
"Kapotte spoelen, doorgebrand",nl
zuigt niet meer schoon,nl
Dichtgemaakt met Sugru,nl
en filter en zuigmond vuil,nl
"Voeding ok, backlight niet",nl
wiel geblokkeerd,nl
Windows 10 update geïnstalleerd,nl
Nieuwe Windows geïnstalleerd,nl
Gereinigd met perslucht,nl
"Wat betekent ""50""?",nl
Zekering doorgebrand,nl
"CD geen uitzending, radio io",nl
Schakelt niet in en is traag,nl
elektrisch licht werkt niet,nl
Waarschijnlijk een vals contact,nl
geen smering,nl
De aandrijfrollen reinigen,nl
Geblokkeerd apparaat,nl
Kan er niet in,nl
Stukje snoer vervangen,nl
Ontkalkingspomp,nl
Vervangen door elastiek,nl
gebroken handvat,nl
Terugkerend probleem met Calor,nl
Snoer verstorven,nl
blender met ontbrekende knop,nl
Wordt warm,nl
Ventilatorbeveiliging kapot,nl
zet geen koffie,nl
De tv springt vanzelf aan en uit,nl
Functietest niet mogelijk,nl
Vals contact met batterijen,nl
Onderdeel was kwijt,nl
snoer vast - is te kort?,nl
"Geen Schijf""",nl
toerenregelaar,nl
De eerste machine werkt weer,nl
Gloeilamp verbrand,nl
afstelling defect,nl
Na verbinding met PC/Lap,nl
Komt terug bij volgende sessie,nl
Moederbord defekt?,nl
snoer ingekort en aangesloten,nl
lekt,nl
aan en uitknop doet het niet,nl
Harde schijf van laptop vervangen,nl
De radio staat niet meer aan,nl
fout / gebroken voedingsdraad,nl
In veilige modus werkt het,nl
Trigger geblokkeerd,nl
Reactie klant: 'Bijna opgelost',nl
"zak te vol, te lang door gezogen",nl
hakt,nl
Toasts blijven geblokkeerd,nl
"Lood nodig, oude afgeknipt",nl
Schoongemaakt en snaar gespannen,nl
Kan niet meer worden ingeschakeld,nl
Reservebatterij leeg,nl
Nieuwe schijf nodig,nl
Cassettelade sluit niet meer,nl
Onderdeel te duur om te vervangen,nl
De bladen draaien niet,nl
defect in electronica,nl
motor loopt niet meer,nl
corrosie van IEC-stekkercontact,nl
Solarlampen: oxidatie ++++,nl
def Waterafvoer nieuw afgesloten,nl
Batterij veilig verwijderd,nl
dode weerstand en verstopping,nl
Was gevallen,nl
Teddy bromt niet,nl
losse elektrische hals,nl
ontstekingsknop defect,nl
verstopt filter en sproeier,nl
Ventilator erg stil,nl
Rubbertje vervangen,nl
Een lamp defect,nl
Niet veilig te repareren,nl
Papierstoring verholpen,nl
Afdichting sluit niet af,nl
Start niet of traag op,nl
snoerbekleding gebroken,nl
moet worden vastgedraaid,nl
Foto's ophalen,nl
aandrijf motor maakt kortsluiting,nl
"geopend, schoongemaakt",nl
loszittende motor,nl
Allemaal verstopt met stof,nl
B327,nl
Geledigd,nl
zuigkracht is weg,nl
Diagnose: Nieuwe batterij nodig,nl
Oplossing: condo vervangen,nl
demonteren en opnieuw monteren,nl
Losse draad weer aangesloten,nl
gstopt tijdens zuigen,nl
Defecte versterker,nl
Bezoek alles duurde te lang,nl
Laptop-oplader,nl
Magnetron dichtgeslagen,nl
Motor loopt niet soepel,nl
onderhoud + draadsynchro,nl
mogelijk defect snoer,nl
"keukenmachine, gaat niet aan",nl
vermoed kabelfout,nl
"geen probleem gevonden, werkt OK",nl
zegt niets meer,nl
kabelbreuk in oprolsnoer,nl
laadt niet op en maakt geluiden,nl
batterijen zaten verkeerd,nl
lfz.63: Werkt niet,nl
Kabelbreuk in de aansluitkabel,nl
Pick-up trekt door,nl
doorgebrande condensator,nl
Diagnose: batterij bijna leeg?,nl
regelaar overbrugt,nl
Vals contact op pedaalkabel,nl
Schoongemaakt en vervangen,nl
Gebroken tanden,nl
Werkt slechts sporadisch,nl
een zweep houdt niet langer,nl
Robot zonder hoofd,nl
snoer hersteld,nl
Rep werkt nog steeds,nl
erg vuil / verstopt?,nl
Laptop - Touchpad defect,nl
erg rommelig met pleisterwerk,nl
Gebarsten interlock voor deksel,nl
Knop weer vastgemaakt,nl
ging niet verder,nl
Weggebracht voor reparatie,nl
Draad op twee plaatsen gebroken,nl
Trilkussen werkt niet,nl
Nachtlampje: kapotte connector,nl
Klepje CD-station zit vast,nl
Continue leegwatersensor?,nl
Stopt met werken (langzaam),nl
elektronische fotodisplay,nl
Paper feed defect,nl
Netstekker defect,nl
Naaimachine mist steken,nl
element gebroken,nl
minuten kan 6 minuten duren,nl
Spanning moet worden aangepast,nl
start niet motorkoolstoffen nodig,nl
Filters helemaal verstopt,nl
Kabel beschadigd - ingekort,nl
Geadviseerd over vervangende lamp,nl
Water wordt niet behandeld,nl
verwarmingselement weg,nl
De naald stopt met bewegen,nl
Storing in de voeding,nl
Oplossing: zekering vervangen,nl
Schoonmaken zonder succes,nl
De percolator warmt niet meer op,nl
contactvloeistof,nl
Doorgeblazen inlaat,nl
Zwak geluid,nl
Laptop - Geen teken van leven -,nl
Geen code ontvangen,nl
"Vaste lens, vaste batterijkap",nl
Samsung laptop defect,nl
Diafragma niet meer instelbaar,nl
Een bezoeker had haar Livarno,nl
Apparaat piept,nl
Brommend geluid bij bassen,nl
Moeilijkheid met openen,nl
Harde schijf kapot,nl
Probleem met draaien,nl
Gaat aan maar wordt niet warm,nl
blijft niet draaien,nl
Afdichting drukventiel defect,nl
Te stil,nl
"Kapotte draden, reparatie OK",nl
suigmond valt van de steel,nl
Het geluid van de radio,nl
NA,nl
Startmotor werkt niet meer,nl
Noodoplossing aangebracht,nl
veer weer opnieuw gemonteerd,nl
Microfiche kopen,nl
Kabel bij de schakelaar los,nl
Filter zat verstopt,nl
Storing in voeding,nl
"Stereo, casette speelt niet af",nl
Gootsteen defect,nl
defecte voedingskaart,nl
Er lekt water uit de tank,nl
Paarse steek over het hele scherm,nl
Armatuurfout ?,nl
Werkt terug volledig,nl
broodsnijmachine,nl
Pot gecorrodeerd,nl
Gebroken veer Veer vervangen,nl
De voeding had geen uitgang,nl
CD-speler (behoeft categorie),nl
De buis is aan de basis gelast,nl
Zeer luidruchtig en vuil,nl
Stofzuigt niet meer,nl
reparatie niet mogelijk,nl
Defecte thermische zekering,nl
Mobiel - Schermprobleem -,nl
Kan oorzaak niet achterhalen,nl
was te moeilijk voor ons team,nl
Solderen schakelaar,nl
Daarna werkte het toestel weer,nl
Corrosie in elektromagneetpunten,nl
Alleen geluid via koptelefoon,nl
Volledig reinigen en ontkalken,nl
Gebroken cover,nl
Potmeter schoongemaakt,nl
Open gemaakt,nl
week proefgedraaid,nl
weigert soms,nl
Zuigt niet hard genoeg,nl
defecte lamp en dimmers vervangen,nl
Plastic windu was gespleten,nl
Papierstoring: motorspanningsfout,nl
Niet meer te repareren,nl
Printer,nl
Doorgeschroeid,nl
Schoon geblazen,nl
Repareerbaarheid-5-matig,nl
Machine gecontroleerd volgens EDP,nl
Zaklamp - gaat niet aan,nl
ACCU LAADT NIET MEER OP,nl
PSU getest (goed),nl
Rechter stopcontact defect,nl
Batterijcompartiment gecorrodeerd,nl
V-aansluiting,nl
Na 15 minuten uitgeschakeld,nl
Mouwborstel gerepareerd,nl
Heb het snoer vervangen,nl
Niet opstarten na laten vallen,nl
defecte aansluiting,nl
Suggestie om Linux te installeren,nl
Schone lens,nl
het werkt weer,nl
Het water loopt niet,nl
Gerepareerde kabel,nl
Contactveren gereinigd,nl
Vals contact na een val,nl
Eén kant werkte niet,nl
Lifter zit vast,nl
gaat niet aan of zo,nl
nieuwe accaveer gemonteerd,nl
Verwarmer defect,nl
Batterij van DECT-telefoon defect,nl
Deken wordt niet warm,nl
scherm licht niet op,nl
Diagnose: defecte stroomregelaar,nl
stofdelen in motor,nl
Pointer loopt permanent,nl
Het water stopt met stromen,nl
Slang verstopt,nl
Waarschijnlijk kabelbreuk,nl
Spanningsregeling werkt niet,nl
Heb geschikte riemen nodig,nl
alleen sist serieweerstand f,nl
onmogelijk te repareren,nl
Mond totaal vervuild,nl
maakt lawaai en zuigt niet aan,nl
er is een nieuwe batterij nodig,nl
Handvat eraf gevallen,nl
Schroeven vast geroest,nl
Vervangende lagers vereist,nl
Motor u/s,nl
Schakelt uit na inloggen,nl
Brandt niet meer: batterij leeg,nl
kabel van bds gescheurd,nl
beveiligingsschakelaars,nl
Veiligheid defect,nl
nl,nl
Hitteprobleem oververhitting,nl
verwarming in onderdelen,nl
niets specifieks,nl
gebogen voedingspennen,nl
Stopte met werken - motor?,nl
Zender installeren,nl
Vastgelopen lager,nl
Inschakelen gaat goed,nl
Neemt geen water op,nl
trage zuigkracht,nl
Docket 153,nl
Tape leaks,nl
Klevende CD-schijflade,nl
kabel uit),nl
Lade klemmt,nl
Veer rechtzetten,nl
De veer was gebroken,nl
Het deeg niet kneden,nl
Voorlip niet meer leverbaar,nl
Stopschroef linksom gedraaid,nl
stuurprogramma niet gevonden,nl
filters vervuild,nl
Verhoudingscondensator vervangen,nl
Werkt niet - stekker nodig,nl
Uitgetrokken en vervangen,nl
motor nagekeken,nl
Cassettemechanisme defect,nl
"schakelaar defect, schroeischade",nl
rolmechanisme kapot,nl
Schade weergeven,nl
zuigt weinig,nl
maakt veel lawaai,nl
Neemt het apparaat terug,nl
papiergrijper grijpt niet,nl
vel lawai,nl
Draad in schakelaar losgemaakt,nl
snoer in de knoop,nl
Apparaat krijgt geen stroom,nl
Mobiel - Start niet op -,nl
TV start op maar geen beeld,nl
voedingsstekker kapot,nl
Blijft uitschakelen,nl
Geen druk,nl
Niet vermeld,nl
Start op maar scherm is leeg,nl
Los contact Volume,nl
probleem met riem oprollen,nl
kabelhaspel verwijderd,nl
Thuis schoonmaken en testen,nl
De draden opnieuw solderen,nl
schroef moet worden vervangen,nl
elektrische aansluiting,nl
MKP condensatoren vervangen,nl
Nieuwe kabel gelegd,nl
De stofzuiger is verstopt,nl
kaputt electronics,nl
opnieuw aangesloten,nl
Kan niet worden hersteld,nl
Nieuw geleverd tfo 7€,nl
Kogellager is vast,nl
De wekker werkt niet,nl
Spoelcapsule ontbreekt,nl
Werkte even en stopte toen weer,nl
Mobiel - Geen stroom - Batterij,nl
Geen wikkelmogelijkheid,nl
Waterpompje doet het niet,nl
Brandlucht en trage motor,nl
